name,description,weight,weight_reduce_rate,rating_multiplier,rating_multiplier_lifetime,type,name,description,first_field_name,first_operator,second_operator,second_field_name,third_field_name,first_value,first_value_type,second_value,second_value_type,third_value,third_value_type,first_model,second_model,third_model
Новичок,Выдается каждому новичку при регистрации,3000,0.5,1.1,30,global_achievements,Новичок,Eсли с даты регистрации не прошло более 1 месяца,,-,<,create_date,,today(),date,,,days=30,timedelta,,BugBountyProfile,
За принятые отчеты,"За определенное число принятых отчетов (любого вендора, индустрии, скоупа) без доработок",3000,0.5,,,global_achievements,За принятые отчеты,"За определенное число принятых отчетов (любого вендора, индустрии, скоупа) без доработок >= 5",number_accepted_reports,>=,,,,,,5,,,,BugBountyProfile,,
Аккуратный,За 100% заполнение репортов,,,1.2,14,global_achievements,Аккуратный,За 100% заполнение репортов,percentage_of_accepted_reports,==,,,,,,100,,,,BugBountyProfile,,
Вендорные,За принятые репорты одного вендора,5000,0.5,,,global_achievements,Вендорные,За принятые репорты одного вендора: НПО «Сазонов» >= 3,"reports.filter(project__vendor__name=""НПО «Сазонов»"", status__name=""accepted"")",>=,,,,,,3,,,,Hacker,,
Индустрийные (одна индустрия),За принятые репорты в одной индустрии,,,,,global_achievements,Индустрия: Education,За принятые репорты в одной индустрии: Education >= 4,"reports.filter(project__industry__name=""education"", status__name=""accepted"").count()",>=,,,,,,4,,,,Hacker,,
Индустрийные полный охват,За принятые отчеты в каждой индустрии с учетом охвата всех идустрий,,,,,global_achievements,,,,,,,,,,,,,,,,
Скоупы (один скоуп),За принятые отчеты в одном скоупе,3000,0.5,,,global_achievements,Скоупы: WebApp,За принятые отчеты в одном скоупе: WebApp >= 4,"reports.filter(project__scope__name=""WebApp"", status__name=""accepted"").count()",>=,,,,,,4,,,,Hacker,,
Скоупы полный охват,За принятые отчеты в каждом скоупе с учетом охвата всех скоупов,3000,0.5,,,global_achievements,,,,,,,,,,,,,,,,
За упорство,За принятые репорты после отправки их на доработку,2000,0.5,,,global_achievements,,,,,,,,,,,,,,,,
За репорт в новом скоупе вендора,За сдачу репорта в числе первых в новом скоупе у вендора,,,,,global_achievements,"За репорт в новом скоупе вендор; Vendor: НПО «Сазонов»; Scope: ""IOS""'","Vendor: НПО «Сазонов»; Scope: ""IOS""'","reports.filter(project__scope__name=""IOS"", status__name=""accepted"", project__vendor__name=""НПО «Сазонов»"").count()",==,,,,,,1,,,,Hacker,,
,,,,,,,"За репорт в новом скоупе вендор. Vendor: НПО «Сазонов»; Scope: ""IOS""' #2","Vendor: НПО «Сазонов»; Scope: ""IOS""'","filter(achievement__name='За репорт в новом скоупе вендор; Vendor: НПО «Сазонов»; Scope: ""IOS""').exists()",==,,,,,,True,,,,HackerAchievement,,
Самозанятый,За оформление как самозанятый,,,,,global_achievements,,,,,,,,,,,,,,,,
ИП,За оформление как ИП,,,,,global_achievements,,,,,,,,,,,,,,,,
Рефералы,За то что привел друзей,,,,,global_achievements,,,,,,,,,,,,,,,,
Регулярность (минимум N отчетов в месяц год с начала),,,,,,global_achievements,,,,,,,,,,,,,,,,
Вендоркие бейджи,За участие в проекте,,,,,global_achievements,,,,,,,,,,,,,,,,
